172.17.0.106 - - [01/Sep/2015:21:26:28 -0500] "GET /~984667/lab1/aboutme.html HTTP/1.1" 404 727 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9"
172.17.0.106 - - [01/Sep/2015:21:26:34 -0500] "GET /~984667/ HTTP/1.1" 200 601 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9"
172.17.0.106 - - [01/Sep/2015:21:26:34 -0500] "GET /~984667/dheeraj.jpg HTTP/1.1" 200 25190 "http://mumstudents.org/~984667/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9"
172.17.0.106 - - [01/Sep/2015:21:26:34 -0500] "GET /cs472/2013-09/images/w3c-html.png HTTP/1.1" 200 6324 "http://mumstudents.org/~984667/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9"
172.17.2.133 - - [01/Sep/2015:22:00:54 -0500] "GET /~984667/lab1/index HTTP/1.1" 200 1144 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:00:54 -0500] "GET /~984667/lab1/styleme.css HTTP/1.1" 200 492 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:00:54 -0500] "GET /~984667/lab1/happy.jpg HTTP/1.1" 200 21465 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:00:54 -0500] "GET /~984667/lab1/Angry.jpg HTTP/1.1" 200 5230 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
128.30.52.73 - - [01/Sep/2015:22:01:01 -0500] "GET /~984667/lab1/index HTTP/1.1" 200 1107 "-" "W3C_Validator/1.3 http://validator.w3.org/services"
172.17.2.133 - - [01/Sep/2015:22:03:07 -0500] "GET /~984667/lab1/index HTTP/1.1" 200 1144 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:03:07 -0500] "GET /~984667/lab1/styleme.css HTTP/1.1" 200 492 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:03:07 -0500] "GET /~984667/lab1/happy.jpg HTTP/1.1" 304 181 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:03:07 -0500] "GET /~984667/lab1/Angry.jpg HTTP/1.1" 304 180 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:03:07 -0500] "GET /cs472/2013-09/images/w3c-html.png HTTP/1.1" 304 180 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:03:07 -0500] "GET /favicon.ico HTTP/1.1" 200 2537 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
128.30.52.73 - - [01/Sep/2015:22:03:11 -0500] "GET /~984667/lab1/index HTTP/1.1" 200 1107 "-" "W3C_Validator/1.3 http://validator.w3.org/services"
172.17.2.133 - - [01/Sep/2015:22:04:25 -0500] "GET /~984667/lab1/index HTTP/1.1" 200 1142 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:04:25 -0500] "GET /~984667/lab1/styleme.css HTTP/1.1" 200 492 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:04:25 -0500] "GET /~984667/lab1/happy.jpg HTTP/1.1" 200 21465 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:04:25 -0500] "GET /~984667/lab1/Angry.jpg HTTP/1.1" 200 5230 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
172.17.2.133 - - [01/Sep/2015:22:04:25 -0500] "GET /cs472/2013-09/images/w3c-html.png HTTP/1.1" 304 181 "http://mumstudents.org/~984667/lab1/index" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
